,SID,TID,HG,GID,AbNr,Min,HZ,PR,SpSt,GS,AP,Ergeb,Phase,VNr,2VNr,3VNr,4VNr,5VNr,6VNr,7VNr,8VNr,9VNr,10VNr,11VNr,12VNr,SNr,xFe,yFe,xG
0,1,FCN,H,GWD,1,3,1,0,,0,1,Block,Freistoss,,,,,,,,,,,,,11.0,-5.0,34.0,0.012989067459423761
1,1,FCN,H,GWD,2,6,1,0,1:0,0,2,Tor,AusDemSpiel,20.0,26.0,23.0,20.0,,,,,,,,,9.0,6.5,44.0,0.30383629461684897
2,1,FCN,H,GWD,3,8,1,0,,1,3,Block,AusDemSpiel,20.0,26.0,6.0,23.0,8.0,,,,,,,,27.0,17.0,34.0,0.007420045595360936
3,1,GWD,G,FCN,1,11,1,0,,-1,4,Vorbei,Freistoss,,,,,,,,,,,,,,-2.0,26.5,0.1512122362460692
4,1,FCN,H,GWD,4,14,1,0,,1,5,Save,AusDemSpiel,8.0,20.0,1.0,26.0,23.0,6.0,8.0,,,,,,9.0,1.0,37.5,0.47758021981336124
5,1,FCN,H,GWD,5,16,1,0,2:0,1,6,Tor,AusDemSpiel,8.0,26.0,23.0,6.0,20.0,13.0,,,,,,,7.0,-0.5,46.0,0.4348534703202001
6,1,GWD,G,FCN,2,18,1,0,,-2,7,Vorbei,Freistoss,,,,,,,,,,,,,,14.5,29.0,0.010663172770001174
7,1,GWD,G,FCN,3,20,1,0,,-2,8,Vorbei,AusDemSpiel,,,,,,,,,,,,,,-7.5,26.5,0.021777227333693094
8,1,FCN,H,GWD,6,21,1,0,,2,9,Save,AusDemSpiel,13.0,,,,,,,,,,,,9.0,17.0,46.0,0.026381190043428572
9,1,GWD,G,FCN,4,24,1,0,,-2,10,Save,AusDemSpiel,,,,,,,,,,,,,,5.5,37.0,0.42838789090388874
10,1,GWD,G,FCN,5,24,1,0,,-2,10,TLK,AusDemSpiel,,,,,,,,,,,,,,-6.5,40.5,0.3346522030809458
11,1,GWD,G,FCN,6,27,1,0,,-2,11,Vorbei,Freistoss,,,,,,,,,,,,,,-4.0,19.5,0.004045646310377701
12,1,FCN,H,GWD,7,40,1,0,,2,12,Save,AusDemSpiel,26.0,23.0,,,,,,,,,,,13.0,21.5,41.0,0.03102922166328265
13,1,FCN,H,GWD,8,40,1,0,,2,12,Block,AusDemSpiel,,,,,,,,,,,,,11.0,-11.0,42.5,0.011564200879921781
14,1,FCN,H,GWD,9,41,2,0,,2,13,Block,AusDemSpiel,27.0,9.0,6.0,,,,,,,,,,9.0,7.5,34.5,0.07144277896798865
15,1,FCN,H,GWD,10,42,2,0,,2,14,Vorbei,AusDemSpiel,6.0,1.0,6.0,,,,,,,,,,8.0,7.5,33.5,0.09623317692357376
16,1,GWD,G,FCN,7,43,2,0,,-2,15,Save,Freistoss,,,,,,,,,,,,,,-14.5,44.0,0.06326180383992212
17,1,FCN,H,GWD,11,45,2,0,,2,16,Vorbei,AusDemSpiel,,,,,,,,,,,,,6.0,-5.5,24.5,0.016695916397564025
18,1,GWD,G,FCN,8,46,2,0,,-2,17,Vorbei,AusDemSpiel,,,,,,,,,,,,,,21.0,33.5,0.00349692700472451
19,1,FCN,H,GWD,12,51,2,0,,2,18,Vorbei,AusDemSpiel,8.0,,,,,,,,,,,,7.0,7.5,41.5,0.10664531582771873
20,1,FCN,H,GWD,13,57,2,0,3:0,2,19,Tor,AusDemSpiel,8.0,,,,,,,,,,,,7.0,5.5,44.5,0.18120253052789437
21,1,FCN,H,GWD,14,60,2,0,,3,20,Vorbei,AusDemSpiel,18.0,8.0,20.0,1.0,23.0,26.0,,,,,,,8.0,11.0,36.5,0.031242199401090277
22,1,FCN,H,GWD,15,70,2,0,4:0,3,21,Tor,AusDemSpiel,25.0,8.0,1.0,,,,,,,,,,18.0,8.5,45.0,0.35283000170644135
23,1,GWD,G,FCN,9,72,2,0,,-4,22,Save,AusDemSpiel,,,,,,,,,,,,,,13.5,30.5,0.036373569640074405
24,1,FCN,H,GWD,16,75,2,0,,4,23,Vorbei,Ecke,,,,,,,,,,,,,25.0,6.5,50.5,0.1850420522261609
25,1,FCN,H,GWD,17,75,2,0,,4,24,Block,AusDemSpiel,,,,,,,,,,,,,5.0,-9.0,41.5,0.1023021653647816
26,2,FCD,H,FCN,1,4,1,0,1:0,0,1,Tor,AusDemSpiel,,,,,,,,,,,,,,-1.5,33.5,0.0639993353560614
27,2,FCN,G,FCD,1,10,1,0,,-1,2,Vorbei,AusDemSpiel,13.0,8.0,20.0,,,,,,,,,,9.0,4.0,46.0,0.1441484420364182
28,2,FCD,H,FCN,2,11,1,0,,1,3,Save,AusDemSpiel,,,,,,,,,,,,,,-1.5,47.0,0.8240683663046442
29,2,FCD,H,FCN,3,11,1,0,2:0,1,3,Tor,AusDemSpiel,,,,,,,,,,,,,,-1.0,51.0,0.6758199038001371
30,2,FCN,G,FCD,2,13,1,0,,-2,4,Vorbei,Ecke,8.0,,,,,,,,,,,,7.0,8.5,47.5,0.015943641869184594
31,2,FCN,G,FCD,3,16,1,0,,-2,5,Vorbei,AusDemSpiel,27.0,13.0,,,,,,,,,,,9.0,12.5,45.0,0.009838002877906227
32,2,FCN,G,FCD,4,26,1,0,,-2,6,Save,Freistoss,,,,,,,,,,,,,8.0,7.5,25.5,0.03614153098219642
33,2,FCN,G,FCD,5,37,1,0,,-2,7,Block,Freistoss,,,,,,,,,,,,,8.0,2.0,32.5,0.09679722230755991
34,2,FCD,H,FCN,4,43,2,0,,2,8,Vorbei,AusDemSpiel,,,,,,,,,,,,,,12.5,35.0,0.014283354142159832
35,2,FCD,H,FCN,5,47,2,0,,2,9,Vorbei,Ecke,,,,,,,,,,,,,,-5.0,44.5,0.000989517696395372
36,2,FCN,G,FCD,6,57,2,0,2:1,-2,10,Tor,AusDemSpiel,27.0,8.0,5.0,,,,,,,,,,9.0,16.0,46.5,0.3480424414588037
37,2,FCN,G,FCD,7,65,2,0,2:2,-1,11,Tor,AusDemSpiel,13.0,19.0,20.0,,,,,,,,,,9.0,-1.5,46.5,0.3675838045882648
38,2,FCN,G,FCD,8,66,2,0,,0,12,Save,AusDemSpiel,8.0,20.0,19.0,13.0,,,,,,,,,27.0,20.0,28.0,0.00453668194518555
39,2,FCD,H,FCN,6,68,2,0,,0,13,Vorbei,AusDemSpiel,,,,,,,,,,,,,,2.0,38.5,0.2189145646191912
40,2,FCN,G,FCD,9,70,2,0,,0,14,Vorbei,AusDemSpiel,,,,,,,,,,,,,18.0,14.5,32.0,0.037842926062991444
41,2,FCN,G,FCD,10,71,2,0,,0,15,Vorbei,Ecke,20.0,8.0,20.0,,,,,,,,,,13.0,4.5,49.0,0.16685656236508775
42,2,FCN,G,FCD,11,72,2,0,2:3,0,16,Tor,AusDemSpiel,25.0,9.0,19.0,26.0,1.0,20.0,23.0,,,,,,9.0,-5.5,28.0,0.032175902738034376
43,2,FCN,G,FCD,12,78,2,0,,1,17,Vorbei,AusDemSpiel,13.0,19.0,,,,,,,,,,,18.0,18.0,28.0,0.005168581597749243
44,2,FCN,G,FCD,13,80,2,0,,1,18,Vorbei,AusDemSpiel,8.0,18.0,23.0,5.0,,,,,,,,,25.0,-14.0,43.0,0.15668625022807423
45,2,FCD,H,FCN,7,83,2,0,,-1,19,Alu,Freistoss,,,,,,,,,,,,,,5.5,50.5,0.28777078248191135
46,3,FCN,H,TSV,1,4,1,0,,0,1,Vorbei,AusDemSpiel,26.0,13.0,,,,,,,,,,,23.0,-10.0,32.5,0.02194572702327539
47,3,FCN,H,TSV,2,4,1,0,,0,2,Vorbei,Ecke,9.0,8.0,,,,,,,,,,,13.0,-3.5,51.0,0.8960082031747472
48,3,TSV,G,FCN,1,8,1,0,,0,3,Vorbei,AusDemSpiel,,,,,,,,,,,,,,-16.5,42.5,0.13021464826520357
49,3,TSV,G,FCN,2,8,1,0,,0,4,Save,AusDemSpiel,,,,,,,,,,,,,,10.0,33.0,0.03258060349893079
50,3,TSV,G,FCN,3,10,1,0,,0,5,Save,AusDemSpiel,,,,,,,,,,,,,,15.5,35.0,0.07316252114861878
51,3,FCN,H,TSV,3,11,1,0,,0,6,Block,AusDemSpiel,,,,,,,,,,,,,9.0,-9.5,43.5,0.06302662355187162
52,3,FCN,H,TSV,4,13,1,0,1:0,0,7,Tor,Elfmeter,,,,,,,,,,,,,7.0,-0.0,41.5,0.7068148462161765
53,3,FCN,H,TSV,5,14,1,0,,1,8,Save,AusDemSpiel,9.0,,,,,,,,,,,,7.0,3.0,40.5,0.10064659833945991
54,3,TSV,G,FCN,4,16,1,0,1:1,-1,9,Tor,AusDemSpiel,,,,,,,,,,,,,,-5.0,46.5,0.13693172811710425
55,3,TSV,G,FCN,5,19,1,0,,0,10,Vorbei,AusDemSpiel,,,,,,,,,,,,,,8.5,35.5,0.006784382960461706
56,3,FCN,H,TSV,6,20,1,0,,0,11,Save,AusDemSpiel,,,,,,,,,,,,,27.0,-0.5,40.0,0.4900219832705899
57,3,TSV,G,FCN,6,25,1,0,,0,12,Vorbei,AusDemSpiel,,,,,,,,,,,,,,-11.5,40.0,0.15711498901201196
58,3,TSV,G,FCN,7,26,1,0,,0,13,Vorbei,AusDemSpiel,,,,,,,,,,,,,,-3.5,48.5,0.7773670636592093
59,3,FCN,H,TSV,7,29,1,0,,0,14,Save,Freistoss,,,,,,,,,,,,,20.0,-13.5,32.5,0.06446173083564408
60,3,FCN,H,TSV,8,31,1,0,,0,15,Vorbei,AusDemSpiel,27.0,7.0,20.0,21.0,6.0,8.0,,,,,,,7.0,-13.0,41.0,0.3100087621006747
61,3,FCN,H,TSV,9,32,1,0,2:1,0,16,Tor,AusDemSpiel,8.0,7.0,6.0,,,,,,,,,,27.0,-10.0,49.5,0.11729103123478132
62,3,FCN,H,TSV,10,34,1,0,,1,17,Save,AusDemSpiel,,,,,,,,,,,,,9.0,7.5,46.5,0.1922917630270382
63,3,TSV,G,FCN,8,36,1,0,,-1,18,Save,AusDemSpiel,,,,,,,,,,,,,,-5.5,49.5,0.3514539138822702
64,3,TSV,G,FCN,9,40,1,0,,-1,19,Vorbei,AusDemSpiel,,,,,,,,,,,,,,4.5,44.5,0.057797486201141945
65,3,TSV,G,FCN,10,44,2,0,,-1,20,Vorbei,AusDemSpiel,,,,,,,,,,,,,,2.5,42.0,0.027898855945968342
66,3,FCN,H,TSV,11,45,2,0,3:1,1,21,Tor,AusDemSpiel,8.0,,,,,,,,,,,,9.0,1.5,39.5,0.39165281268385826
67,3,FCN,H,TSV,12,48,2,0,,2,22,Block,AusDemSpiel,8.0,21.0,20.0,,,,,,,,,,27.0,-13.0,38.5,0.07352013169544448
68,3,TSV,G,FCN,11,52,2,0,,-2,23,Vorbei,AusDemSpiel,,,,,,,,,,,,,,-17.0,47.5,0.05106399271038095
69,3,FCN,H,TSV,13,56,2,1,,2,24,Save,Freistoss,,,,,,,,,,,,,9.0,9.0,35.5,0.13361753287214997
70,3,FCN,H,TSV,14,57,2,1,4:1,2,25,Tor,AusDemSpiel,13.0,20.0,6.0,16.0,10.0,23.0,,,,,,,10.0,-3.0,45.5,0.9484009481680491
71,3,FCN,H,TSV,15,59,2,1,,3,26,Save,AusDemSpiel,,,,,,,,,,,,,9.0,8.0,38.0,0.12336219669731299
72,3,TSV,G,FCN,12,63,2,-1,,-3,27,Save,AusDemSpiel,,,,,,,,,,,,,,16.0,44.5,0.04210967226425795
73,3,FCN,H,TSV,16,64,2,1,,3,28,Block,AusDemSpiel,,,,,,,,,,,,,26.0,5.0,30.0,0.036411180541016
74,3,FCN,H,TSV,17,65,2,1,,3,28,Vorbei,AusDemSpiel,,,,,,,,,,,,,23.0,-14.0,27.5,0.0042398527737923615
75,3,FCN,H,TSV,18,66,2,1,,3,29,Vorbei,AusDemSpiel,10.0,7.0,20.0,19.0,16.0,,,,,,,,9.0,8.5,40.0,0.25385297693398734
76,3,FCN,H,TSV,19,68,2,1,,3,30,Save,AusDemSpiel,10.0,,,,,,,,,,,,7.0,8.0,40.0,0.26517553819081874
77,3,FCN,H,TSV,20,69,2,1,,3,31,Vorbei,Ecke,18.0,,,,,,,,,,,,7.0,14.0,32.5,0.02309426234246087
78,3,FCN,H,TSV,21,70,2,1,,3,32,Save,AusDemSpiel,20.0,16.0,23.0,19.0,26.0,21.0,20.0,10.0,,,,,25.0,12.5,45.0,0.1579680200908894
79,3,FCN,H,TSV,22,70,2,1,,3,33,Vorbei,AusDemSpiel,10.0,18.0,19.0,16.0,23.0,21.0,20.0,,,,,,25.0,-9.5,41.5,0.2941379280827794
80,3,FCN,H,TSV,23,78,2,1,,3,34,Save,AusDemSpiel,11.0,10.0,19.0,11.0,,,,,,,,,7.0,2.5,47.0,0.5030556811905824
81,3,FCN,H,TSV,24,79,2,1,,3,35,Vorbei,AusDemSpiel,10.0,,,,,,,,,,,,26.0,3.5,25.5,0.03562948645550078
82,4,FCN,G,DJK,1,4,1,0,0:1,0,1,Tor,Ecke,7.0,8.0,,,,,,,,,,,23.0,-3.5,52.0,0.7767252674885828
83,4,FCN,G,DJK,2,8,1,0,,1,2,Save,AusDemSpiel,23.0,19.0,6.0,,,,,,,,,,16.0,5.0,30.5,0.02390644264449415
84,4,FCN,G,DJK,3,17,1,0,,1,3,Vorbei,AusDemSpiel,5.0,23.0,19.0,16.0,8.0,,,,,,,,16.0,12.0,24.5,0.004597587348187442
85,4,FCN,G,DJK,4,19,1,0,,1,4,Vorbei,AusDemSpiel,10.0,7.0,,,,,,,,,,,20.0,8.5,46.0,0.04707596628821615
86,4,FCN,G,DJK,5,25,1,0,,1,5,Save,AusDemSpiel,16.0,23.0,6.0,19.0,5.0,16.0,,,,,,,10.0,-1.0,43.5,0.014538578006142203
87,4,FCN,G,DJK,6,31,1,0,,1,6,Block,AusDemSpiel,8.0,16.0,20.0,23.0,19.0,,,,,,,,27.0,9.5,23.5,0.004293401660549317
88,4,FCN,G,DJK,7,31,1,0,,1,6,Vorbei,AusDemSpiel,,,,,,,,,,,,,27.0,4.0,30.0,0.10519040825420074
89,4,FCN,G,DJK,8,36,1,0,,1,7,Save,AusDemSpiel,23.0,27.0,23.0,16.0,6.0,8.0,19.0,,,,,,27.0,8.0,24.5,0.0029923955267918156
90,4,FCN,G,DJK,9,37,1,0,,1,8,Save,AusDemSpiel,23.0,,,,,,,,,,,,16.0,4.0,24.0,0.004986206645538175
91,4,FCN,G,DJK,10,38,1,0,,1,9,Vorbei,Ecke,,,,,,,,,,,,,6.0,-0.0,15.5,2.281350252112922e-07
92,4,DJK,H,FCN,1,39,1,0,,-1,10,Vorbei,AusDemSpiel,,,,,,,,,,,,,,15.0,30.5,0.017393753784239165
93,4,FCN,G,DJK,11,42,1,0,,1,11,Block,AusDemSpiel,,,,,,,,,,,,,20.0,7.5,31.5,0.012941521076081805
94,4,DJK,H,FCN,2,41,2,0,,-1,12,Vorbei,Ecke,,,,,,,,,,,,,,5.0,43.0,0.02671111843481149
95,4,FCN,G,DJK,12,42,2,0,,1,13,Vorbei,AusDemSpiel,,,,,,,,,,,,,5.0,-0.5,31.5,0.01487769848740185
96,4,FCN,G,DJK,13,43,2,0,,1,14,Save,AusDemSpiel,8.0,27.0,13.0,20.0,21.0,23.0,,,,,,,7.0,16.5,39.5,0.04511354909487726
97,4,FCN,G,DJK,14,53,2,0,,1,15,Save,AusDemSpiel,5.0,,,,,,,,,,,,7.0,-4.0,35.0,0.28477469586075715
98,4,FCN,G,DJK,15,61,2,0,,1,16,Vorbei,AusDemSpiel,8.0,23.0,16.0,20.0,26.0,,,,,,,,20.0,7.5,25.5,0.012459412823065763
99,4,DJK,H,FCN,3,64,2,0,,-1,17,Vorbei,AusDemSpiel,,,,,,,,,,,,,,-1.0,27.5,0.03390598917215641
100,4,FCN,G,DJK,16,70,2,0,,1,18,Save,AusDemSpiel,20.0,16.0,20.0,26.0,,,,,,,,,7.0,4.5,45.5,0.10159430840256432
101,4,DJK,H,FCN,4,76,2,0,,-1,19,Vorbei,Freistoss,,,,,,,,,,,,,,15.0,25.5,0.024882239451078335
102,4,FCN,G,DJK,17,82,2,0,,1,20,Save,AusDemSpiel,8.0,23.0,,,,,,,,,,,25.0,-4.5,36.5,0.3255770382609723
103,4,FCN,G,DJK,18,82,2,0,0:2,1,20,Tor,AusDemSpiel,,,,,,,,,,,,,9.0,-8.0,37.5,0.7276224565294551
104,5,FCN,H,FCM,1,4,1,0,,0,1,Save,AusDemSpiel,9.0,7.0,9.0,13.0,1.0,20.0,5.0,,,,,,10.0,6.0,46.0,0.525815228955895
105,5,FCM,G,FCN,1,10,1,0,,0,2,Save,AusDemSpiel,,,,,,,,,,,,,,-14.0,36.0,0.06861315493496359
106,5,FCN,H,FCM,2,25,1,0,,0,3,Vorbei,AusDemSpiel,7.0,5.0,,,,,,,,,,,9.0,-7.0,44.0,0.3746393575599613
107,5,FCN,H,FCM,3,29,1,1,,0,4,Alu,AusDemSpiel,20.0,16.0,26.0,8.0,23.0,,,,,,,,10.0,-9.0,45.5,0.04187253787783424
108,5,FCM,G,FCN,2,34,1,-1,0:1,0,5,Tor,Freistoss,,,,,,,,,,,,,,-0.0,37.5,0.01012081858977397
109,5,FCN,H,FCM,4,37,1,1,,-1,6,Vorbei,AusDemSpiel,,,,,,,,,,,,,20.0,15.5,29.0,0.020197088691293278
110,5,FCN,H,FCM,5,44,2,1,,-1,7,Vorbei,AusDemSpiel,8.0,10.0,16.0,23.0,5.0,8.0,20.0,26.0,,,,,10.0,-7.5,37.5,0.09498859691644591
111,5,FCN,H,FCM,6,46,2,1,,-1,8,Save,AusDemSpiel,8.0,10.0,23.0,,,,,,,,,,7.0,7.5,41.0,0.38301827967393093
112,5,FCN,H,FCM,7,50,2,1,,-1,9,Vorbei,AusDemSpiel,,,,,,,,,,,,,23.0,-20.0,35.5,0.007827318725757707
113,5,FCN,H,FCM,8,55,2,1,,-1,10,Save,AusDemSpiel,8.0,,,,,,,,,,,,7.0,-0.5,43.5,0.04930973175248973
114,5,FCM,G,FCN,3,62,2,-1,,1,11,Block,AusDemSpiel,,,,,,,,,,,,,,-2.5,30.0,0.04230338738377125
115,5,FCM,G,FCN,4,63,2,-1,0:2,1,12,Tor,Freistoss,,,,,,,,,,,,,,-9.5,46.5,0.14856178398596748
116,5,FCN,H,FCM,9,69,2,1,1:2,-2,13,Tor,Elfmeter,,,,,,,,,,,,,7.0,-0.0,41.5,0.7068148462161765
117,5,FCN,H,FCM,10,70,2,1,2:2,-1,14,Tor,AusDemSpiel,13.0,8.0,16.0,23.0,26.0,,,,,,,,7.0,-2.0,46.0,0.4368847605958584
118,5,FCN,H,FCM,11,72,2,1,,0,15,Vorbei,AusDemSpiel,6.0,23.0,8.0,6.0,,,,,,,,,20.0,8.5,20.5,0.008050097126515592
119,5,FCN,H,FCM,12,75,2,1,,0,16,Block,Freistoss,,,,,,,,,,,,,8.0,5.0,26.0,0.045729624843759135
120,5,FCM,G,FCN,5,78,2,-1,,0,17,Vorbei,Freistoss,,,,,,,,,,,,,,-9.0,45.0,0.021549129812342634
121,5,FCN,H,FCM,13,80,2,1,,0,18,Vorbei,AusDemSpiel,16.0,6.0,19.0,,,,,,,,,,27.0,-11.5,32.0,0.08269630184646885
122,5,FCN,H,FCM,14,82,2,1,,0,19,Vorbei,AusDemSpiel,,,,,,,,,,,,,18.0,-13.5,32.5,0.043181078586451115
123,6,FCN,G,FWK,1,2,1,0,,0,1,Save,AusDemSpiel,7.0,27.0,16.0,20.0,,,,,,,,,11.0,-5.0,32.5,0.031726686755661926
